search URL:,https://patents.google.com/?assignee=Celi&oq=assignee:%28Celi%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CA-2637574-C,Platform for interoperable healthcare data exchange ,"Accenture Global Services Gmbh, Scott D. Myers, John S. Celi, John F. Quinn, Brian J. Kelly, Gale E. Thompson, Marshall Ruffin, Garret R. Wu, Shawn D. Roman, Amy H. Wright, William J. Tronoski, Andrew J. Truscott, Accenture International Sarl, Accenture Global Services Limited","Scott D. Myers, John S. Celi, John F. Quinn, Brian J. Kelly, Gale E. Thompson, Marshall Ruffin, Garret R. Wu, Shawn D. Roman, Amy H. Wright, William J. Tronoski, Andrew J. Truscott",2006-01-17,2007-01-17,2017-10-31,2017-10-31,https://patents.google.com/patent/CA2637574C/en,
US-8692101-B2,Stringed instrument for connection to a computer to implement DSP modeling ,"Line 6, Inc.","Marcus Ryle, Michel A. Doidic, Peter J. Celi, Alan Zak",2002-07-16,2010-08-18,2014-04-08,2014-04-08,https://patents.google.com/patent/US8692101B2/en,https://patentimages.storage.googleapis.com/5f/23/47/1ba807a26fc450/US08692101-20140408-D00000.png
US-8321346-B2,Automated teller machine for use with computing devices ,International Business Machines Corporation,"Joseph Celi, Jr., Thomas E. Creamer, Neil A. Katz, Victor S. Moore",2002-12-19,2002-12-19,2012-11-27,2012-11-27,https://patents.google.com/patent/US8321346B2/en,https://patentimages.storage.googleapis.com/72/b6/ce/17fa17631102e0/US08321346-20121127-D00000.png
US-8958864-B2,Combined radiation therapy and magnetic resonance unit ,"Siemens Aktiengesellschaft, Siemens Medical Solutions Usa, Inc","Christopher Jude Amies, Paul Beasley, Juan Carlos Celi, Oliver Heid, Francisco Miguel Hernandez-Guerra, Marcel Jan Marie Kruip, Markus Vester",2007-02-28,2008-02-28,2015-02-17,2015-02-17,https://patents.google.com/patent/US8958864B2/en,https://patentimages.storage.googleapis.com/4d/8d/54/28258e2b47fd2a/US08958864-20150217-D00000.png
US-2006101987-A1,Stringed instrument with embedded DSP modeling for modeling acoustic stringed instruments ,"Celi Peter J, Doidic Michel A, Marcus Ryle","Peter Celi, Michel Doidic, Marcus Ryle",2002-07-16,2005-12-29,2006-05-18,,https://patents.google.com/patent/US20060101987A1/en,https://patentimages.storage.googleapis.com/d6/0f/5f/b31266c2bdaf25/US20060101987A1-20060518-D00000.png
US-2007214256-A1,System and method for IP address discovery in rapidly changing network environment ,"Castaneda Frank J, Celi Joseph Jr, Griffin David L, Martinez Christopher J, Momenee Karen N, Amado Nassiff, Sielken Robert S, Wimer William C Ii, Woodward Steven G","Frank Castaneda, Joseph Celi, David Griffin, Christopher Martinez, Karen Momenee, Amado Nassiff, Robert Sielken, William Wimer, Steven Woodward",2006-03-09,2006-03-09,2007-09-13,,https://patents.google.com/patent/US20070214256A1/en,https://patentimages.storage.googleapis.com/3e/a4/c3/81bb26178725cc/US20070214256A1-20070913-D00000.png
WO-9710067-A1,Process and device for making metal workpieces ,"Fraunhofer-Gesellschaft Zur Förderung Der Angewandten Forschung E.V., München","Tanju Celiker, Hans-Joachim Herfurth, Ivo Celi",1995-09-13,1996-07-22,1997-03-20,,https://patents.google.com/patent/WO1997010067A1/en,
CA-2054581-A1,Interface for keyboard emulation provided by an operating system ,"Joseph Celi Jr., International Business Machines Corporation",Joseph Celi Jr.,1990-12-18,1991-10-31,1992-06-19,,https://patents.google.com/patent/CA2054581A1/en,
WO-2008019118-A2,Four-dimensional (4d) image verification in respiratory gated radiation therapy ,"Siemens Medical Solutions Usa, Inc., Siemens Aktiengesellschaft","Ali Khamene, Juan Carlos Celi, Charles Florin, Barbara Ofstad, Mikael Rousson, Frank Sauer, Christian Schaller",2006-08-04,2007-08-06,2008-02-14,,https://patents.google.com/patent/WO2008019118A2/en,
CA-2067250-C,Inhibition of padgem-mediated cell binding ,"Bruce Furie, Eric Larsen, Alessandro Celi, Gary E. Gilbert, Barbara C. Furie, John K. Erban, Roberta Bonfanti, Denisa D. Wagner, New England Medical Center Hospitals, Inc.","Bruce Furie, Eric Larsen, Alessandro Celi, Gary E. Gilbert, Barbara C. Furie, John K. Erban, Roberta Bonfanti, Denisa D. Wagner",1989-10-20,1990-10-22,2008-06-17,2008-06-17,https://patents.google.com/patent/CA2067250C/en,
US-8295615-B2,Selective compression of synchronized content based on a calculated compression ratio ,International Business Machines Corporation,"Joseph Celi, Jr.",2007-05-10,2007-05-10,2012-10-23,2012-10-23,https://patents.google.com/patent/US8295615B2/en,https://patentimages.storage.googleapis.com/c5/f9/a6/d91806e2379ec6/US08295615-20121023-D00000.png
PH-18465-A,Container with extensible pouring spout ,Ex Cell O Corp,Robert E Lisiecki,1980-10-02,1981-09-24,1985-07-18,,https://patents.google.com/patent/PH18465A/en,
US-2003174808-A1,In vivo planning and treatment of cancer therapy ,"Hughes John H., Celi Juan Carlos, Hernandez-Guerra Francisco Miguel","John Hughes, Juan Celi, Francisco Hernandez-Guerra",2002-03-14,2002-03-14,2003-09-18,,https://patents.google.com/patent/US20030174808A1/en,https://patentimages.storage.googleapis.com/27/e6/5f/f09dc4cde4af34/US20030174808A1-20030918-D00000.png
CA-2105997-A1,"Method of inhibiting padgem-mediated interactions using an inhibitor comprising a 2,6 sialic acid component ","Bruce Furie, Barbara C. Furie, Eric Larsen, Theresa Palabrica, Susan Sajer, Gary E. Gilbert, Denisa D. Wagner, Alessandro Celi, John Erban, Rosemary Gibson, New England Medical Center Hospitals, Inc.","Bruce Furie, Barbara C. Furie, Eric Larsen, Theresa Palabrica, Susan Sajer, Gary E. Gilbert, Denisa D. Wagner, Alessandro Celi, John Erban, Rosemary Gibson",1991-03-11,1992-03-09,1992-09-12,,https://patents.google.com/patent/CA2105997A1/en,
US-2009003512-A1,Dose-guided radiation therapy using cone beam CT ,"Jean Pouliot, Josephine Chen, Hong Chen, Juan Carlos Celi, Ali Bani-Hashemi, Bijumon Gangadharan","Jean Pouliot, Josephine Chen, Hong Chen, Juan Carlos Celi, Ali Bani-Hashemi, Bijumon Gangadharan",2007-06-28,2007-06-28,2009-01-01,,https://patents.google.com/patent/US20090003512A1/en,https://patentimages.storage.googleapis.com/7f/c3/f9/3783f7b807d834/US20090003512A1-20090101-D00007.png
US-4828661-A,Process for recovery of metals from metal/plastic waste ,Celi Antonio M,Antonio M. Celi,1987-09-24,1987-12-11,1989-05-09,1989-05-09,https://patents.google.com/patent/US4828661A/en,
US-5196154-A,Apparatus for the treatment of metal-laminated plastics scrap ,Celi Antonio M,Antonio M. Celi,1990-06-10,1991-12-05,1993-03-23,1993-03-23,https://patents.google.com/patent/US5196154A/en,https://patentimages.storage.googleapis.com/47/35/12/eb29b372158360/US5196154-drawings-page-2.png
US-9208325-B2,Protecting data on a mobile device ,International Business Machines Corporation,"Mark Alexander McGloin, Olgierd Stanislaw Pieczul, Joseph Celi, Jr.",2012-07-26,2012-07-26,2015-12-08,2015-12-08,https://patents.google.com/patent/US9208325B2/en,https://patentimages.storage.googleapis.com/2c/b0/b4/ced58d6ade9fdf/US09208325-20151208-D00000.png
US-9451454-B2,Mobile device identification for secure device access ,International Business Machines Corporation,"Joseph Celi, Jr., Olgierd S. Pieczul, Mary Ellen Zurko",2012-01-05,2012-01-05,2016-09-20,2016-09-20,https://patents.google.com/patent/US9451454B2/en,https://patentimages.storage.googleapis.com/32/fd/20/eb906d426a9227/US09451454-20160920-D00000.png
ES-242134-U,A blank scheduled for a reci- piente tranformarse cardboard. ,Ex-Celi-O Corporation,,1976-07-23,1977-07-22,1979-12-01,,https://patents.google.com/patent/ES242134U/en,
US-2010019137-A1,High Filling Flow Water Phantom ,"Torre Juan-Carlos Celi De La, Stefan Reinhold, Roman Harmansa, Rob Plompen","Juan-Carlos Celi de la Torre, Stefan Reinhold, Roman Harmansa, Rob Plompen",2008-07-22,2009-07-22,2010-01-28,,https://patents.google.com/patent/US20100019137A1/en,https://patentimages.storage.googleapis.com/US20100019137A1/US20100019137A1-20100128-D00000.png
US-5252189-A,Method of processing used appliance batteries ,Celi Antonio M,Antonio M. Celi,1990-06-26,1991-12-23,1993-10-12,1993-10-12,https://patents.google.com/patent/US5252189A/en,https://patentimages.storage.googleapis.com/32/d7/26/046069ecac0afe/US5252189-drawings-page-2.png
US-8487269-B2,Combined radiation therapy and magnetic resonance unit ,"Siemens Aktiengesellschaft, Siemens Medical Solutions Usa, Inc.","Christopher Jude Amies, Paul Beasley, Juan Carlos Celi, Oliver Heid, Francisco Miguel Hernandez-Guerra, Marcel Jan Marie Kruip, Markus Vester",2007-02-28,2011-02-28,2013-07-16,2013-07-16,https://patents.google.com/patent/US8487269B2/en,https://patentimages.storage.googleapis.com/9a/48/13/0cf7259e6e6a5b/US08487269-20130716-D00000.png
DE-2908355-A1,Tempering recirculated heat transfer medium - by providing inlet and outlet of recirculating circuit with by=pass for mixing medium with tempered medium ,Antonio M Dipl Ing Celi,Antonio M Dipl Ing Celi,1979-03-03,1979-03-03,1980-09-18,,https://patents.google.com/patent/DE2908355A1/en,
US-5190649-A,Apparatus for working up metal-charged waste sludges ,Celi Antonio M,Antonio M. Celi,1988-06-23,1989-06-14,1993-03-02,1993-03-02,https://patents.google.com/patent/US5190649A/en,https://patentimages.storage.googleapis.com/c4/50/d9/160a0d12c5c8aa/US5190649-drawings-page-2.png
